ID,TAG_WEIGHT,TAG_RETURNED,TAG_EXPECTED,OUTCOME,OUTCOME_HFQ_REMOVED,TAG_RETURNED_HFQ_REMOVED,TAG_WEIGHT_HFQ_REMOVED
0,53.025385542040624,sci.med,sci.med,True,True,sci.med,32.02228072295777
1,272.4028259309164,sci.med,sci.med,True,True,sci.med,123.64195786770674
2,159.50803881278765,alt.atheism,sci.med,False,True,sci.med,24.8903534774909
3,109.83605540958243,alt.atheism,alt.atheism,True,True,alt.atheism,21.354517975642302
4,770.8677450531188,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,581.1474359493334
5,65.53590587461409,alt.atheism,alt.atheism,True,True,alt.atheism,35.59735985217842
6,62.00912459538373,comp.graphics,comp.graphics,True,True,comp.graphics,37.37803723042266
7,84.82756870400766,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,40.066671717222015
8,88.2096162491448,comp.graphics,sci.med,False,False,comp.graphics,1.556233982841042
9,38.463708053738834,sci.med,sci.med,True,False,,0
10,47.180365638896355,comp.graphics,comp.graphics,True,True,comp.graphics,23.82428149018496
11,94.1347092582573,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,82.79116184010903
12,39.097276099427596,soc.religion.christian,sci.med,False,False,soc.religion.christian,19.30261229322162
13,148.0679745115878,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,46.61017436957294
14,122.25111538123738,comp.graphics,comp.graphics,True,False,soc.religion.christian,68.12383220983826
15,254.3332791489266,sci.med,alt.atheism,False,False,sci.med,163.80791083354205
16,1388.1696950608093,comp.graphics,comp.graphics,True,True,comp.graphics,1327.7287957548483
17,110.00014562799187,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,34.275866893340904
18,146.04383578110318,alt.atheism,alt.atheism,True,False,soc.religion.christian,8.285822328574444
19,844.9368144577968,soc.religion.christian,alt.atheism,False,False,soc.religion.christian,820.2493286441464
20,658.1977989489131,soc.religion.christian,sci.med,False,False,soc.religion.christian,613.1203473035101
21,411.1725739142612,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,131.55597315221465
22,204.18050205271794,comp.graphics,comp.graphics,True,True,comp.graphics,46.14792335195016
23,148.22115776739406,soc.religion.christian,alt.atheism,False,False,soc.religion.christian,14.930501449088451
24,26.705437833360673,sci.med,sci.med,True,True,sci.med,18.87043428180932
25,142.68569662142494,comp.graphics,comp.graphics,True,True,comp.graphics,69.02142700764843
26,57.37937105921523,sci.med,comp.graphics,False,True,comp.graphics,35.75083499182123
27,87.16572730390311,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,23.155317907507907
28,131.39396743711032,sci.med,sci.med,True,False,soc.religion.christian,87.11177882157735
29,96.8042459352246,soc.religion.christian,alt.atheism,False,False,soc.religion.christian,8.853395006534333
30,81.28294745707214,comp.graphics,comp.graphics,True,True,comp.graphics,28.00855512197663
31,209.34367193161714,soc.religion.christian,soc.religion.christian,True,True,soc.religion.christian,150.15825475738583
32,64.50494558566282,alt.atheism,alt.atheism,True,False,soc.religion.christian,16.701198686917795
33,52.96975048793628,sci.med,sci.med,True,True,sci.med,27.29325858021218
34,290.1399478166845,sci.med,sci.med,True,True,sci.med,169.87163080407396
35,802.6468433663875,alt.atheism,alt.atheism,True,False,soc.religion.christian,775.7337868525558
36,5.234496883170781,sci.med,sci.med,True,True,sci.med,1.9429159432906
37,199.15578289630537,alt.atheism,alt.atheism,True,False,soc.religion.christian,65.3674446386506
38,47.705217340472146,sci.med,sci.med,True,False,comp.graphics,3.7981708107280383
39,13.044500339901115,comp.graphics,comp.graphics,True,True,comp.graphics,3.513438174596779
40,116.59569874131365,comp.graphics,sci.med,False,True,sci.med,84.02715832083244
